施設名,所在地,台帳番号,標高の目安（ｍ）,画像,画像2,AED情報,分類__,FIXEDID,X,Y,承認状態,登録日時,更新日時,公開範囲,海抜（TP.m）
當陽禅寺,大分市大字市尾１９２番地,42,25,,,0,津波避難場所,200252,24882.79144,69714.21205,承認済み,2017/5/16 9:30,,庁外公開,25
八柱神社,大分市大字屋山２２８１番地,43,24,,,0,津波避難場所,200253,24946.02508,69431.57802,承認済み,2017/5/16 9:30,,庁外公開,24
湊自治会　避難場所②,大字本神崎字湊１２５８、１２６０、１２８１～１２８３番地,53,21,,,0,津波避難場所,200294,26887.66035,74948.61687,承認済み,2017/5/16 9:30,,庁外公開,21.5
大分市美術館,上野丘子どものもり公園内,99,73,,,0,津波避難場所,200296,24919.30088,56222.14475,承認済み,2017/5/16 9:30,,庁外公開,73
小黒分校跡地,大字佐賀関字小黒４５２３番２,4,30,,,0,津波避難場所,200297,28739.58657,83471.00848,承認済み,2017/5/16 9:30,,庁外公開,30.6
福水区避難場所,大字佐賀関３８３１番地,72,14,,,0,津波避難場所,200299,29487.37743,82274.40559,承認済み,2017/5/16 9:30,,庁外公開,14.4
金比羅様,大字佐賀関字西町１９７６番地,13,17,,,0,津波避難場所,200300,27737.74988,81715.55818,承認済み,2017/5/16 9:30,,庁外公開,17.4
徳應寺　境内地,大字佐賀関２１２６番地,14,16,,,0,津波避難場所,200301,27705.50787,81593.9561,承認済み,2017/5/16 9:30,,庁外公開,16.4
正念寺　境内地,大字佐賀関２１２５番地,15,13,,,0,津波避難場所,200302,27635.23955,81622.87543,承認済み,2017/5/16 9:30,,庁外公開,13.8
神山区公民館　敷地,大字佐賀関１８０６番地,73,12,,,0,津波避難場所,200303,27726.73689,81903.65056,承認済み,2017/5/16 9:30,,庁外公開,12.5
ふれあい広場,大字白木字秋の江１３６番地,71,33,,,0,津波避難場所,200304,27164.21022,81138.91793,承認済み,2017/5/16 9:30,,庁外公開,33.9
室生区共有地,大字白木字室生３２８６番地,37,13,,,0,津波避難場所,200333,24966.62422,81358.64056,承認済み,2017/5/16 9:30,,庁外公開,13.2
大分鶴崎高等学校第２グラウンド,大字角子原字屋宗６２１,132,20,,,0,津波避難場所,200478,26942.32451,65925.62874,承認済み,2017/5/16 9:30,,庁外公開,20.9
鶴崎工業高校グラウンド,大字葛木５０９番地,127,40,,,0,津波避難場所,200479,24814.72194,62830.38496,承認済み,2017/5/16 9:30,,庁外公開,40.6
佐賀関小学校グラウンド,大字佐賀関１１０４番地,16,13,,,0,津波避難場所,200480,27581.73914,81499.9869,承認済み,2017/5/16 9:30,,庁外公開,13.7
亀塚古墳公園内　敷地,大字里字大塚６４６－１ほか,79,32,,,0,津波避難場所,200481,26180.80893,68934.40455,承認済み,2017/5/16 9:30,,庁外公開,32.3
こうざき小学校グラウンド,大字本神崎９４５番地の２,134,17,,,0,津波避難場所,200482,26801.73902,74413.00257,承認済み,2017/5/16 9:30,,庁外公開,17.5
関崎海星館,大字佐賀関４０５７－４１９,101,110,,,0,津波避難場所,200483,29786.50816,83743.20565,承認済み,2017/5/16 9:30,,庁外公開,118.2
下浦霊園,大字一尺屋字宮ノ上３７０９番地の２,46,19,,,0,津波避難場所,200486,22323.06253,79872.01785,承認済み,2017/5/16 9:30,,庁外公開,19.7
六柱神社　境内地,大字佐賀関２８５番地,74,22,,,0,津波避難場所,200492,27674.70373,80232.12818,承認済み,2017/5/16 9:30,,庁外公開,22.1
古宮公民館,大字佐賀関３１８番地,101,16,,,0,津波避難場所,200493,27534.06971,80371.49939,承認済み,2017/5/16 9:30,,庁外公開,16
日照寮　敷地内,大字佐賀関字太田１３８－２１番地,104,16,,,0,津波避難場所,200494,28022.83687,80290.25604,承認済み,2017/5/16 9:30,,庁外公開,16.4
古宮区グラウンドゴルフ場,大字佐賀関７３７－２番地　他,99,17,,,0,津波避難場所,200495,27821.13389,80561.05741,承認済み,2017/5/16 9:30,,庁外公開,17.1
ﾊﾟﾝﾊﾟｼｯﾌｨｯｸ・ｶｯﾊﾟｰ浜ｸﾗﾌﾞ　敷地内,大字佐賀関古宮４６番地,100,24,,,0,津波避難場所,200496,28263.65131,80514.1917,承認済み,2017/5/16 9:30,,庁外公開,24.9
小黒区防災会　津波避難場所①,大字佐賀関４７２０－１～５,1,16,,,0,津波避難場所,200550,28839.28444,83306.63481,承認済み,2017/5/16 9:30,,庁外公開,16
細区防災会　津波避難場所①,大字細１３８１,1,20,,,0,津波避難場所,200551,27135.52928,72445.87527,承認済み,2017/5/16 9:30,,庁外公開,20.8
細区防災会　津波避難場所②,大字細１６０９番地,2,25,,,0,津波避難場所,200552,26852.4073,72565.25321,承認済み,2017/5/16 9:30,,庁外公開,25.5
細区防災会　津波避難場所③,大字細１８８９－１,3,20,,,0,津波避難場所,200553,26432.4095,72857.7487,承認済み,2017/5/16 9:30,,庁外公開,20
福正寺　境内地,大字佐賀関２３６０番地,3,19,,,0,津波避難場所,200560,27970.01615,81788.44483,承認済み,2017/5/16 9:30,,庁外公開,19.1
丘の上広場,大字佐賀関３３５２番地,2,16,,,0,津波避難場所,200570,28188.8163,81863.56587,承認済み,2017/5/16 9:30,,庁外公開,16.5
大分舞鶴高等学校第２グラウンド,牧上町２６０－２,103,27,,,0,津波避難場所,200600,26369.15909,59727.99094,承認済み,2017/5/16 9:30,,庁外公開,27.1
津波避難場所（こうざき連合防災会）,大字馬場字中山９５３番１、９５３番３９,65,22,,,0,津波避難場所,200601,25976.21756,73920.33708,承認済み,2017/5/16 9:30,,庁外公開,22.9
津波避難場所（河内）３班,大字本神崎１３３９,107,23,,,0,津波避難場所,200617,26618.24244,75039.82572,承認済み,2017/5/16 9:30,,庁外公開,23
津波避難場所（河内）１班,大字本神崎１４８７,105,35,,,0,津波避難場所,200618,26107.3362,75252.50014,承認済み,2017/5/16 9:30,,庁外公開,35.1
津波避難場所（河内）２班,大字本神崎１３６３,106,32,,,0,津波避難場所,200619,26388.14227,75162.972,承認済み,2017/5/16 9:30,,庁外公開,32.2
南生石西　阿部駐車場,南生石西５組,39,11,,,0,津波避難場所,200657,27232.12527,54235.81589,承認済み,2017/5/16 9:30,,庁外公開,11
小志生木公民館,志生木２４３２－２,40,13,,,0,津波避難場所,200675,27449.15775,78682.22273,承認済み,2017/5/16 9:30,,庁外公開,13.6
駅自治会　津波避難場所,大字本神崎字集１８４－１、１８５、１８６,41,16,,,0,津波避難場所,200676,25988.43712,74242.40354,承認済み,2017/5/16 9:30,,庁外公開,16.9
スカイコート大在公園,大字城原字大久保６１３－１０,42,25,,,0,津波避難場所,200684,26370.38624,68517.67085,承認済み,2017/5/16 9:30,,庁外公開,25.8
風海ヶ丘なかよし公園,大字城原字北畑４８－２外,43,37,,,0,津波避難場所,200685,26840.08361,68066.62511,承認済み,2017/5/16 9:30,,庁外公開,37.4
城原台第２公園,大字城原字狐迫２２８８－３６外,44,18,,,0,津波避難場所,200686,26464.99566,67578.40363,承認済み,2017/5/16 9:30,,庁外公開,18.3
城原台第３公園,大字城原字狐迫２２８８－４５外,45,19,,,0,津波避難場所,200687,26438.73939,67553.40591,承認済み,2017/5/16 9:30,,庁外公開,19.4
ホームタウン城原なかよし公園,大字城原字熊本１７３４－８５,46,14,,,0,津波避難場所,200688,26703.80871,67862.97316,承認済み,2017/5/16 9:30,,庁外公開,14.5
城原台公園,大字城原字蓮池２４７２－３８外,47,16,,,0,津波避難場所,200689,26567.51733,67527.22757,承認済み,2017/5/16 9:30,,庁外公開,16.4
曙台第２公園,曙台一丁目２２３０－５２外,49,29,,,0,津波避難場所,200690,26314.79379,67682.5577,承認済み,2017/5/16 9:30,,庁外公開,29.7
