名称,名称かな,所在地,その他,分類__,FIXEDID,X,Y,登録日時,更新日時,公開範囲
金池小学校,かないけしょうがっこう,金池町３丁目１番９０号,体育館,避難所,28500,26087.09545,57126.9708,2017/5/16 9:30,,庁外公開
上野ヶ丘中学校,うえのがおかちゅうがっこう,上野町４番５号,体育館,避難所,28600,25481.23507,57062.50153,2017/5/16 9:30,,庁外公開
大分上野丘高等学校,おおいたうえのがおかこうとうがっこう,上野ヶ丘２丁目１０番１号,体育館,避難所,28800,24710.11813,56992.46907,2017/5/16 9:30,,庁外公開
コンパルホール,こんぱるほーる,府内町１丁目５番３８号,体育室等,避難所,28900,26266.8034,56947.91517,2017/5/16 9:30,,庁外公開
（旧）荷揚町小学校体育館,きゅうにあげまちしょうがっこうたいいくかん,荷揚町３番４９号,体育館,避難所,29000,26854.09802,56684.48762,2017/5/16 9:30,,庁外公開
長浜小学校,ながはましょうがっこう,長浜町２丁目６番２５号,体育館,避難所,29100,26362.99066,57651.87946,2017/5/16 9:30,,庁外公開
（旧）中島小学校,きゅうなかしましょうがっこう,中島西２丁目１番５２号,体育館,避難所,29200,27218.87762,56674.90794,2017/5/16 9:30,,庁外公開
浜町保育所,はままちほいくしょ,新川西６組,体育室,避難所,29300,27695.51789,56432.38604,2017/5/16 9:30,,庁外公開
春日町小学校,かすがまちしょうがっこう,西春日町１番４８号,体育館,避難所,29600,26809.05697,55613.11683,2017/5/16 9:30,,庁外公開
王子中学校,おうじちゅうがっこう,南春日町６番１号,体育館,避難所,29700,26422.06682,55425.31771,2017/5/16 9:30,,庁外公開
生石保育所,いくしほいくしょ,王子西町８番１１号,体育室,避難所,29800,27117.16482,54807.19028,2017/5/16 9:30,,庁外公開
大分西部公民館,おおいたせいぶこうみんかん,王子新町５番１号,集会室,避難所,29900,26466.07414,54976.73704,2017/5/16 9:30,,庁外公開
大道小学校,おおみちしょうがっこう,大道町２丁目９番５７号,体育館,避難所,30000,26047.00913,55960.42643,2017/5/16 9:30,,庁外公開
県立聾学校,けんりつろうがっこう,東大道２丁目５番１２号,体育館,避難所,30100,25547.64746,56092.84861,2017/5/16 9:30,,庁外公開
西の台小学校,にしのだいしょうがっこう,にじが丘３丁目１７１７番地の１,体育館,避難所,30200,25439.6383,54467.15463,2017/5/16 9:30,,庁外公開
大分西中学校,おおいたにしちゅうがっこう,高崎２丁目２０番１号,体育館,避難所,30300,26275.71543,53864.18863,2017/5/16 9:30,,庁外公開
大分西高等学校,おおいたにしこうとうがっこう,新春日町２丁目１番１号,体育館,避難所,30400,26053.66467,55054.92841,2017/5/16 9:30,,庁外公開
八幡小学校,やはたしょうがっこう,大字生石８２番地の１,体育館,避難所,30500,27054.1277,53654.77917,2017/5/16 9:30,,庁外公開
神崎小学校,かんざきしょうがっこう,大字神崎１７９８番地,体育館,避難所,30600,28347.08995,50775.27809,2017/5/16 9:30,,庁外公開
豊府小学校,ほうふしょうがっこう,大字羽屋１３番地の１,体育館,避難所,30800,24127.20194,56299.59093,2017/5/16 9:30,,庁外公開
南大分中学校,みなみおおいたちゅうがっこう,大字奥田７５４番地の１,体育館,避難所,30900,23986.99576,55450.29273,2017/5/16 9:30,,庁外公開
南大分公民館,みなみおおいたこうみんかん,大字豊饒７６番地の１,集会所,避難所,31000,23156.37958,55252.7295,2017/5/16 9:30,,庁外公開
南大分体育館,みなみおおいたたいいくかん,大字豊饒３８０番地,体育館,避難所,31100,23331.56558,56016.5167,2017/5/16 9:30,,庁外公開
城南小学校,じょうなんしょうがっこう,大字永興４９２番地の１,体育館,避難所,31200,24124.24501,54628.31239,2017/5/16 9:30,,庁外公開
城南中学校,じょうなんちゅうがっこう,大字荏隈７５４番地の１９,体育館,避難所,31300,23755.63297,53958.29513,2017/5/16 9:30,,庁外公開
滝尾小学校,たきおしょうがっこう,大字羽田５１５番地の１,体育館,避難所,31400,23898.50484,59055.42976,2017/5/16 9:30,,庁外公開
滝尾校区公民館,たきおこうくこうみんんかん,大字羽田518番地,集会室,避難所,31450,24217.99463,58599.26006,2017/5/16 9:30,,庁外公開
下郡小学校,しもごうりしょうがっこう,下郡北３丁目１７番２３号,体育館,避難所,31500,25516.65183,59096.8409,2017/5/16 9:30,,庁外公開
森岡小学校,もりおかしょうがっこう,大字曲１０４１番地の２,体育館,避難所,31600,22960.61575,57243.24846,2017/5/16 9:30,,庁外公開
森岡校区公民館,もりおかこうくこうみんかん,大字津守３０７番地,集会室,避難所,31700,23562.53501,57768.25401,2017/5/16 9:30,,庁外公開
津留小学校,つるしょうがっこう,東津留１丁目４番１号,体育館,避難所,31800,26820.35716,58752.40945,2017/5/16 9:30,,庁外公開
舞鶴小学校,まいづるしょうがっこう,西浜２番１号,体育館,避難所,31900,27535.82676,58324.20757,2017/5/16 9:30,,庁外公開
東大分小学校,ひがしおおいたしょうがっこう,萩原１丁目１０番３０号,体育館,避難所,32000,27230.75058,59584.01047,2017/5/16 9:30,,庁外公開
城東中学校,じょうとうちゅうがっこう,牧上町１４番１９号,体育館,避難所,32100,26687.86513,60207.04233,2017/5/16 9:30,,庁外公開
日岡小学校,ひおかしょうがっこう,日岡２丁目２番１号,体育館,避難所,32200,27893.10808,61404.34521,2017/5/16 9:30,,庁外公開
大分東部公民館,おおいたとうぶこうみんかん,日吉町３番１号,体育館等,避難所,32300,27413.24805,60578.06723,2017/5/16 9:30,,庁外公開
桃園小学校,ももぞのしょうがっこう,山津町２丁目７番１号,体育館,避難所,32400,26980.66177,62304.68871,2017/5/16 9:30,,庁外公開
原川中学校,はるかわちゅうがっこう,寺崎町１丁目１０番１号,体育館,避難所,32500,27587.04678,61927.15191,2017/5/16 9:30,,庁外公開
明野東小学校,あけのひがししょうがっこう,明野東３丁目２番１号,体育館,避難所,32600,24463.32787,61255.49796,2017/5/16 9:30,,庁外公開
明野西小学校,あけのにししょうがっこう,明野南２丁目６番１号,体育館,避難所,32700,24770.89642,60270.20743,2017/5/16 9:30,,庁外公開
明野北小学校,あけのきたしょうがっこう,明野北4丁目10番1号,体育館,避難所,32800,25747.53567,61099.92832,2017/5/16 9:30,,庁外公開
鶴崎小学校,つるさきしょうがっこう,南鶴崎３丁目３番１号,体育館,避難所,32900,26733.48791,64522.3344,2017/5/16 9:30,,庁外公開
鶴崎公民館,つるさきこうみんかん,東鶴崎１丁目１番７号,集会室,避難所,33000,26968.59164,64822.70393,2017/5/16 9:30,,庁外公開
小中島公民館,おなかじまこうみんかん,小中島３丁目１番３７号,集会室,避難所,33100,27646.55049,64914.1537,2017/5/16 9:30,,庁外公開
三佐小学校,みさしょうがっこう,三佐５丁目６番８号,体育館,避難所,33200,28212.43322,63454.95538,2017/5/16 9:30,,庁外公開
家島公民館,いえじまこうみんかん,大字家島９８６,集会室,避難所,33300,28816.66962,64774.02502,2017/5/16 9:30,,庁外公開
別保小学校,べっぽしょうがっこう,大字森町９６３番地の１,体育館,避難所,33400,25425.76033,63892.58209,2017/5/16 9:30,,庁外公開
鶴崎中学校,つるさきちゅうがっこう,大字皆春１２００番地の１,体育館,避難所,33500,26466.5494,64068.39129,2017/5/16 9:30,,庁外公開
学校法人上東学園もりまち幼稚園,もりまちようちえん,大字森町４０３番地の２,体育室,避難所,33600,25109.46847,63094.03916,2017/5/16 9:30,,庁外公開
明治小学校,めいじしょうがっこう,大字猪野７４番地,体育館,避難所,33700,24472.70662,62028.145,2017/5/16 9:30,,庁外公開
大東中学校,だいとうちゅうがっこう,大字横尾２８４３番地の４,体育館,避難所,33800,23481.00341,63006.75068,2017/5/16 9:30,,庁外公開
岡原公民館,おかばるこうみんかん,大字横尾７６６番地の１,集会室,避難所,33900,22417.6669,62478.97774,2017/5/16 9:30,,庁外公開
明治北小学校,めいじきたしょうがっこう,大字小池原４２８番地の１,体育館,避難所,34000,26049.71049,62220.26888,2017/5/16 9:30,,庁外公開
高田小学校,たかたしょうがっこう,大字下徳丸３８番地の２,東棟3階,避難所,34100,23613.02247,64287.44559,2017/5/16 9:30,,庁外公開
松岡小学校,まつおかしょうがっこう,大字松岡５０４７番地,体育室館,避難所,34200,20359.9876,62251.13204,2017/5/16 9:30,,庁外公開
川添小学校,かわぞえしょうがこう,大字宮河内４５６６番地,体育室館,避難所,34300,22571.84142,65050.58771,2017/5/16 9:30,,庁外公開
宮河内ハイランド公民館,みやかわうちはいらんどこうみんかん,大字宮河内３７６９番地の１９２,集会室,避難所,34400,21304.74619,65263.9318,2017/5/16 9:30,,庁外公開
陽光台公民館,ようこうだいこうみんかん,大字迫９番地の４４,集会所,避難所,34500,24869.29532,65341.89789,2017/5/16 9:30,,庁外公開
広内公民館,ひろうちこうみんかん,大字広内７５２番地,集会室,避難所,34600,20143.47347,67205.17601,2017/5/16 9:30,,庁外公開
戸次中学校,へつぎちゅうがっこう,大字中戸次４５０８番地の１,体育館,避難所,34700,17511.66526,61398.40141,2017/5/16 9:30,,庁外公開
上戸次小学校,かみへつぎしょうがっこう,大字端登１７９２番地,体育館,避難所,34800,12639.19435,60962.13585,2017/5/16 9:30,,庁外公開
大塔公民館,おおとこうみんかん,大字上戸次３４７８番地,集会室,避難所,34900,13483.00999,61164.86673,2017/5/16 9:30,,庁外公開
判田小学校,はんだしょうがっこう,大字中判田１８１８番地,体育館,避難所,35000,18446.86929,59396.29729,2017/5/16 9:30,,庁外公開
判田中学校,はんだちゅうがっこう,大字中判田２２５４番地,体育館,避難所,35100,18538.05006,59073.9665,2017/5/16 9:30,,庁外公開
判田米良公民館,はんだめらこうみんかん,大字上判田３７６６番地の２,集会所,避難所,35200,17963.40135,57897.16326,2017/5/16 9:30,,庁外公開
ひばりヶ丘公民館,ひばりがおかこうみんかん,ひばりヶ丘２丁目６番１号,集会所,避難所,35300,19230.78691,59650.2273,2017/5/16 9:30,,庁外公開
竹中小学校,たけなかしょうがっこう,大字竹中２８２１番地の１,体育館,避難所,35400,15640.82989,60932.21817,2017/5/16 9:30,,庁外公開
竹中中学校,たけなかちゅうがっこう,大字竹中３６２１番地,体育館,避難所,35500,15008.56118,60726.23512,2017/5/16 9:30,,庁外公開
河原内くすのきホール,かわらうちくすのきほーる,大字河原内３８６３番地の２,集会所,避難所,35600,13041.69747,55779.45587,2017/5/16 9:30,,庁外公開
吉野小学校,よしのしょうがっこう,大字辻６５４番地,体育館,避難所,35700,12849.78007,64719.8428,2017/5/16 9:30,,庁外公開
吉野中学校,よしのちゅうがっこう,大字辻８１２番地,体育館,避難所,35800,12574.80852,64725.39985,2017/5/16 9:30,,庁外公開
稙田小学校,わさだしょうがっこう,大字木ノ上４３３番地の１,体育館,避難所,35900,20481.27944,52607.52898,2017/5/16 9:30,,庁外公開
稙田公民館,わさだこうみんかん,大字玉沢７８９番地,集会室,避難所,36000,21012.60578,53845.71911,2017/5/16 9:30,,庁外公開
稙田西中学校,わさだにしちゅうがっこう,大字田原３７８番地,体育館,避難所,36100,21257.93004,52275.13834,2017/5/16 9:30,,庁外公開
胡麻鶴公民館,ごまづるこうみんかん,大字廻栖野６１４番地の２,集会室,避難所,36200,19605.11119,51384.6397,2017/5/16 9:30,,庁外公開
宗方小学校,むなかたしょうがっこう,大字上宗方１６１０番地の３６,体育館,避難所,36300,22908.67265,53808.22809,2017/5/16 9:30,,庁外公開
下宗方公民館,しもむなかたこうみんかん,大字下宗方１２９５番地の１,集会室,避難所,36400,22227.37404,54914.90278,2017/5/16 9:30,,庁外公開
上宗方公民館,かみむなかたこうみんかん,大字上宗方１２４６番地の１,集会室,避難所,36500,22373.16349,54223.25252,2017/5/16 9:30,,庁外公開
横瀬小学校,よこせしょうがっこう,大字横瀬１１０９番地の１,体育館,避難所,36600,20719.29246,50450.43486,2017/5/16 9:30,,庁外公開
横瀬西小学校,よこせにししょうがっこう,大字横瀬２４６９番地,体育館,避難所,36700,21240.02003,49611.02025,2017/5/16 9:30,,庁外公開
東稙田小学校,ひがしわさだしょうがっこう,大字田尻４９９番地の１,体育館,避難所,36800,20939.55191,55628.93519,2017/5/16 9:30,,庁外公開
田尻小学校,たじりしょうがっこう,大字田尻１２５０番地,体育館,避難所,36900,19868.21007,55030.75712,2017/5/16 9:30,,庁外公開
寒田小学校,そうだしょうがっこう,大字寒田６８４番地の４,体育館,避難所,37000,20534.66075,56370.69899,2017/5/16 9:30,,庁外公開
稙田東中学校,わさだひがしちゅうがっこう,大字寒田１３６９番地の１,体育館,避難所,37100,20142.45593,56998.68434,2017/5/16 9:30,,庁外公開
敷戸小学校,しきどしょうがっこう,敷戸北町１２番１号,体育館,避難所,37200,21306.18849,58009.15301,2017/5/16 9:30,,庁外公開
鴛野小学校,おしのしょうがっこう,大字鴛野１０８番地の１,体育館,避難所,37300,20545.01973,57750.71911,2017/5/16 9:30,,庁外公開
賀来中学校,かくちゅうがっこう,大字賀来１０１番地の３,体育館,避難所,37400,23028.7068,52243.28913,2017/5/16 9:30,,庁外公開
賀来公民館,かくこうみんかん,大字中尾４９５－１,集会室,避難所,37500,22806.89722,52034.06598,2017/5/16 9:30,,庁外公開
大在小学校,おおざいしょうがっこう,横田１丁目１５番５８号,体育館,避難所,37600,27724.95109,66986.90529,2017/5/16 9:30,,庁外公開
大在西小学校,おおざいにししょうがっこう,角子原１丁目４番４１号,体育館,避難所,37650,27630.72325,66036.92148,2017/5/16 9:30,,庁外公開
大在中学校,おおざいちゅうがっこう,大字政所２６０２番地の１２,体育館,避難所,37700,26194.04074,67227.66085,2017/5/16 9:30,,庁外公開
大在公民館,おおざいこうみんかん,政所１丁目４番１８号,集会室,避難所,37900,27592.87162,67450.9287,2017/5/16 9:30,,庁外公開
大在浜公民館,おおざいはまこうみんかん,大在浜２丁目９番１１号,集会室,避難所,38100,27080.47115,68235.38735,2017/5/16 9:30,,庁外公開
坂ノ市小学校,さかのいちしょうがっこう,坂ノ市中央5丁目8番1号,体育館,避難所,38200,26139.75312,70514.13656,2017/5/16 9:30,,庁外公開
坂ノ市中学校,さかのいちちゅうがっこう,坂ノ市南2丁目9番72号,体育館,避難所,38300,25619.88753,69933.53521,2017/5/16 9:30,,庁外公開
細公民館,ほそこうみんかん,大字細８８番地の２　1,集会室,避難所,38400,27071.48857,72230.69603,2017/5/16 9:30,,庁外公開
大分東高等学校,おおいたひがしこうとうがっこう,大字屋山２００９番地,体育館,避難所,38500,24681.2013,69397.80972,2017/5/16 9:30,,庁外公開
坂ノ市公民館,さかのいちこうみんかん,坂ノ市西1丁目10番6号,集会室,避難所,38600,25554.27112,69645.35814,2017/5/16 9:30,,庁外公開
和光保育園,わこうほいくえん,里2丁目1番23号,体育室,避難所,38700,26368.66741,69194.69543,2017/5/16 9:30,,庁外公開
丹生小学校,にゅうしょうがっこう,大字佐野２６６０番地の２,体育館,避難所,38800,24016.23936,67410.51215,2017/5/16 9:30,,庁外公開
久土公民館,くどこうみんかん,大字久土９７５番地の１,集会室,避難所,38900,24014.93355,68176.11183,2017/5/16 9:30,,庁外公開
延命寺公民館,えんめいじこうみんかん,大字丹川２４４０番地,集会室,避難所,39000,22677.09522,65889.52408,2017/5/16 9:30,,庁外公開
関崎海星館,せきざきかいせいかん,大字佐賀関4057番地の419,研修室,避難所,90100,29831.30413,83792.30063,2017/5/16 9:30,,庁外公開
佐賀関中学校,さがのせきちゅうがっこう,大字佐賀関２の１１５番地の２,体育館,避難所,90600,27969.73361,80427.73452,2017/5/16 9:30,,庁外公開
（旧）大志生木小学校,きゅう　おおじゅうきしょうがっこう,大字志生木２０７番地の１,体育館,避難所,91600,27542.56765,77854.98209,2017/5/16 9:30,,庁外公開
佐賀関小学校,さがのせきしょうがっこう,大字佐賀関１１０４番地,体育館,避難所,92300,27662.55965,81494.12822,2017/5/16 9:30,,庁外公開
佐賀関公民館,さがのせきこうみんかん,大字佐賀関１４０７－２７（佐賀関市民センター内）,集会室,避難所,92500,27929.61364,81421.70162,2017/5/16 9:30,,庁外公開
こうざき小学校,こうざきしょうがっこう,大字本神崎９４５番地の2,体育館,避難所,94700,26718.95006,74458.65805,2017/5/16 9:30,,庁外公開
田中体育館,たなかたいいくかん,大字佐賀関2639番地の1,体育館,避難所,94710,27752.62177,82244.66282,2017/5/16 9:30,,庁外公開
白木体育館,しらきたいいくかん,大字白木235７番地,体育館,避難所,94902,25898.15483,81020.41622,2017/5/16 9:30,,庁外公開
（旧）木佐上小学校,きゅうきさがみしょうがっこう,大字木佐上８１７番地,体育館,避難所,94915,24447.15604,74288.73261,2017/5/16 9:30,,庁外公開
田ノ浦生活改善センター,たのうらせいかつかいぜんせんたー,田ノ浦（田ノ浦生活改善センター）,集会室,避難所,94955,23962.8236,80682.75727,2017/5/16 9:30,,庁外公開
（旧）一尺屋小学校体育館,（きゅう）いっしゃくやしょうがっこうたいいくかん,大字一尺屋2368-1,体育館,避難所,94982,22618.35023,79983.81518,2017/5/16 9:30,,庁外公開
野津原東部小学校,のつはるとうぶしょうがっこう,大字野津原1774番地の1,体育館,避難所,95700,18445.43605,49505.98759,2017/5/16 9:30,,庁外公開
野津原公民館,のつはるこうみんかん,大字野津原2885番地,集会室,避難所,96800,17806.34863,48928.82664,2017/5/16 9:30,,庁外公開
野津原中学校,のつはるちゅうがっこう,大字野津原2978番地の13,体育館,避難所,97000,17247.54237,48721.67917,2017/5/16 9:30,,庁外公開
（旧）野津原中部小学校,きゅうのつはるちゅうぶしょうがっこう,大字竹矢2108番地の1,体育館,避難所,97800,16305.24515,47606.14694,2017/5/16 9:30,,庁外公開
（旧）野津原西部小学校,きゅうのつはるせいぶしょうがっこう,大字上詰704番地の1,体育館,避難所,98900,13697.05052,44608.61731,2017/5/16 9:30,2018/4/17 9:49,庁外公開
今市健康増進センター,いまいちけんこうぞうしんせんたー,大字今市1099番地の26,体育館,避難所,99100,12008.92313,42049.49176,2017/5/16 9:30,2018/4/17 9:53,庁外公開
大分南部公民館,おおいたなんぶこうみんかん,大字曲１１１３番地,集会室,避難所,200488,22568.42813,57053.72868,2017/5/16 9:30,,庁外公開
明野中学校,あけのちゅうがっこう,明野南３丁目７番１号,体育館,避難所,200489,24436.0307,60733.05358,2017/5/16 9:30,,庁外公開
明治明野公民館,めいじあけのこうみんかん,明野北４丁目７番８号,集会室,避難所,200490,25557.32293,61350.00818,2017/5/16 9:30,,庁外公開
大分南高等学校,おおいたみなみこうとうがっこう,中判田2373番地の1,体育館,避難所,200491,17899.60564,58777.42902,2017/5/16 9:30,,庁外公開
J：COMホルトホール大分,じぇいこむほるとほーるおおいた,金池南１丁目５番１号,福祉交流ひろば　体育館,避難所,200724,25752.07418,56506.8094,2017/5/16 9:30,,庁外公開
碩田学園,せきでんがくえん,碩田町２丁目５番６０号,大アリーナ、小アリーナ,避難所,201016,27681.42202,56990.2854,2017/5/16 9:30,2018/1/22 16:04,庁外公開
